Resolution,Left-Top,Right-Bottom,Active,Disconnected,Primary,Colors,Frequency,Orientation,Maximum Resolution,Name,Adapter,Device ID,Device Key,Monitor ID,Monitor Key,Monitor String,Monitor Name,Monitor Serial Number
1600 X 900,"-1600, 0","0, 900",Yes,No,No,32,60,Default,1600 X 900,\\.\DISPLAY1,Intel(R) HD Graphics 4000,PCI\VEN_8086&DEV_0166&SUBSYS_05341028&REV_09,\Registry\Machine\System\CurrentControlSet\Control\Video\{5629C309-5D2F-11E8-93E3-A2523271B556}\0000,MONITOR\AUO313E\{4d36e96e-e325-11ce-bfc1-08002be10318}\0001,\Registry\Machine\System\CurrentControlSet\Control\Class\{4d36e96e-e325-11ce-bfc1-08002be10318}\0001,Generic PnP Monitor,,
1920 X 1080,"0, 0","1920, 1080",Yes,No,Yes,32,60,Default,1920 X 1080,\\.\DISPLAY3,NVIDIA NVS 5200M,PCI\VEN_10DE&DEV_0DFC&SUBSYS_15341028&REV_A1,\Registry\Machine\System\CurrentControlSet\Control\Video\{5629C376-5D2F-11E8-93E3-A2523271B556}\0000,MONITOR\DELA095\{4d36e96e-e325-11ce-bfc1-08002be10318}\0007,\Registry\Machine\System\CurrentControlSet\Control\Class\{4d36e96e-e325-11ce-bfc1-08002be10318}\0007,Dell S2240T(Digital),DELL S2240T,XJTRX66710RU
